rank,naslov,ocena,deli
1,Berserk,9.47,Ni končana
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.31,24
3,Vagabond,9.26,37
4,One Piece,9.22,Ni končana
5,Monster,9.16,18
6,Slam Dunk,9.08,31
7,Vinland Saga,9.08,Ni končana
8,Tian Guan Cifu,9.07,6
9,Guimi Zhi Zhu,9.07,18
10,Fullmetal Alchemist,9.04,27
11,Omniscient Reader's Viewpoint,9.03,20
12,Grand Blue,9.03,Ni končana
13,Kingdom,9.01,Ni končana
14,Oyasumi Punpun,9.00,13
15,Houseki no Kuni,8.96,13
16,Real,8.95,Ni končana
17,20th Century Boys,8.94,22
18,Ashita no Joe,8.93,20
19,Monogatari Series: First Season,8.91,6
20,Mo Dao Zu Shi,8.91,4
21,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.90,28
22,Yotsuba to!,8.90,Ni končana
23,Monogatari Series: Second Season,8.89,6
24,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.88,9
25,Mikkakan no Koufuku,8.88,1
26,GTO,8.87,25
27,Tian Guan Cifu,8.87,Ni končana
28,3-gatsu no Lion,8.86,Ni končana
29,Haikyuu!!,8.85,45
30,Koe no Katachi,8.85,7
31,Monogatari Series: Final Season,8.83,6
32,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.83,14
33,86,8.82,Ni končana
34,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,26
35,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.82,Ni končana
36,Ookami to Koushinryou,8.82,Ni končana
37,Akatsuki no Yona,8.82,Ni končana
38,Sousou no Frieren,8.81,Ni končana
39,Kaze no Tani no Nausicaä,8.81,7
40,Nana,8.80,21
41,Kokou no Hito,8.79,17
42,Re:Zero kara Hajimeru Isekai Seikatsu,8.78,Ni končana
43,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,3
44,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.76,33
45,Uchuu Kyoudai,8.75,Ni končana
46,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.75,18
47,Hunter x Hunter,8.74,Ni končana
48,Made in Abyss,8.74,Ni končana
49,Hajime no Ippo,8.73,Ni končana
50,One Punch-Man,8.73,Ni končana
51,The Greatest Estate Developer,8.73,Ni končana
52,Dungeon Meshi,8.72,14
53,Shoujo Shuumatsu Ryokou,8.71,6
54,Mushishi,8.71,10
55,Chainsaw Man,8.71,Ni končana
56,The Horizon,8.70,3
57,Veil,8.70,Ni končana
58,Utsuro no Hako to Zero no Maria,8.70,7
59,Kusuriya no Hitorigoto,8.69,Ni končana
60,Death Note,8.69,12
61,Beck,8.69,34
62,Kono Oto Tomare!,8.69,Ni končana
63,Dorohedoro,8.68,23
64,Solo Leveling,8.67,Ni končana
65,Bungou Stray Dogs: Beast,8.67,4
66,Kaoru Hana wa Rin to Saku,8.67,Ni končana
67,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.66,5
68,Yokohama Kaidashi Kikou,8.66,14
69,Akira,8.66,6
70,Natsume Yuujinchou,8.66,Ni končana
71,Yagate Kimi ni Naru,8.66,8
72,Kimi no Suizou wo Tabetai,8.65,1
73,Sayonara Eri,8.65,1
74,Wind Breaker,8.64,Ni končana
75,ReLIFE,8.64,15
76,Kozure Ookami,8.64,28
77,Zaregoto Series,8.64,Ni končana
78,Gintama,8.63,77
79,Aria,8.63,12
80,Violet Evergarden,8.63,2
81,Tongari Boushi no Atelier,8.63,Ni končana
82,Mo Dao Zu Shi,8.63,Ni končana
83,Golden Kamuy,8.63,31
84,Overlord,8.62,Ni končana
85,Blue Period,8.62,Ni končana
86,Pluto,8.62,8
87,Shinyaku Toaru Majutsu no Index,8.62,23
88,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.61,9
89,Koten-bu Series,8.61,Ni končana
90,Kusuriya no Hitorigoto,8.61,Ni končana
91,Mob Psycho 100,8.61,16
92,Ginga Eiyuu Densetsu,8.61,10
93,Banana Fish,8.60,19
94,Kono Subarashii Sekai ni Shukufuku wo!,8.60,17
95,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.60,4
96,19 Tian,8.60,Ni končana
97,Skip to Loafer,8.59,Ni končana
98,Ao Ashi,8.59,Ni končana
99,Shigatsu wa Kimi no Uso,8.59,11
100,Seishun Buta Yarou Series,8.59,Ni končana
101,After School Lessons for Unripe Apples,8.58,Ni končana
102,Tobaku Datenroku Kaiji: One Poker-hen,8.57,16
103,Monogatari Series: Monster Season,8.57,6
104,Kino no Tabi: The Beautiful World,8.57,Ni končana
105,Shinseiki Evangelion,8.57,14
106,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.57,18
